Company Name	Employee Count	Region Served
Brequet	10689	Europe
Breville	27263	USA, Australia, China
Breyer's	4644	India, Australia, Japan
Bridgestone	4489	USA
Bright	6148	Australia
Brioni	15107	Australia
Brisbane Capital	29618	USA
Brisco	27918	China
Bristol-Myers Squibb	28695	USA, Australia, China
Brite	27838	India, Australia, Japan
British Airways	5177	China
British Rail	18920	USA, Australia, China
British Sky Broadcasting Group plc	24408	Australia
Broadview Home Security	12965	Japan, China, Europe
Brookfield Asset Management	10929	USA, India, Europe
Brother	33707	USA, Japan
Brown Brothers Milawa Vineyard	12579	India
Brugse Straffe Hendrik	32534	China
Brush-Ups	16264	Australia
Bubble O' Bill	9154	Europe
Bubble Wrap	9976	Japan
Bubble Yum	11457	India, Australia, Japan
Bubblicious	15243	Japan, China, Europe
Buckle, Inc.	30313	USA, India, Europe
Bud Light	14105	Australia
Budget	22769	Japan, India, China
Budweiser	31958	USA
Buffalo Wild Wings	22188	Australia
Bugatti	14070	Europe
Bugles	22332	India, Australia, Japan
Bugs Bunny	24943	Europe
Buick	3967	USA, Japan
Bulgari	26284	USA
Bulla Dairy Foods	30366	Japan
Bulmers	23296	USA, Japan
Bunnings	28365	India
Burberry	7548	India, Australia, Japan
Burger King	12682	USA, Japan
Burlington Coat Factory	32925	Australia
Burns, Philp & Company Ltd.	11835	China
Burt's Bees	17443	USA, Australia, China
Busan Bank	16269	China
Busch	11275	India
Busch Gardens	3874	USA, Japan
Bush	21839	Australia
Bushmills Irish Whiskey	17208	Europe
Bush's Beans	10179	Japan, India, China
Business Week	33468	Australia
Busscar	18721	Europe, India, Australia
Butterball	15999	Japan
Butterfinger	22326	India
BÃ¶hler-Uddeholm	10095	USA, Australia, China
C&A	15080	Japan
CAP Gemini	12872	Australia
CBS	22066	USA, Australia, China
CC's	22574	Europe
CCR	12096	Europe, India, Australia
CDW	33918	India, Australia, Japan
CESP	24591	China
CHEP	15776	Europe, India, Australia
CIMB	17651	Japan
CJ	19587	Europe, India, Australia
CMBC	2617	USA, Australia, China
CMPC	14170	USA, Japan
CNN	2998	Japan, India, China
CNP Assurances	14728	USA
CPFL	21814	USA
CPIC	19531	USA, Australia, China
CR-V	3191	India, Australia, Japan
CRSanjiu	26812	India
CSL Limited	31177	Japan, India, China
CSR Limited	11317	Japan, India, China
CVS	7140	USA
Cabbage Patch Kids	19946	Europe, India, Australia
Caboodles	1784	India, Australia, Japan
Cacharel	26692	Japan, India, China
Cadbury	21831	Europe
Cadence Capital Limited	17765	Japan, India, China
Cadillac	9945	USA
Caesar's Entertainment	12601	India
Cafe Coffee Day	4084	USA
Cafe de Coral	12908	USA
Caffarel	3413	Japan
CafÃ© de Colombia	1730	Australia
Caixa EconÃ´mica Federal	24285	Europe, India, Australia
Calvin Klein	22671	Europe
Camargo CorrÃªa	22998	Japan
Camel	26678	USA, Australia, China
Camero	23431	China
Campari	25702	Japan
Campbell's	16817	Europe
Camry	30874	Japan, India, China
Camus	779	Japan, India, China
Canada Dry	1606	USA, Japan
Canadian Imperial Bank	13601	Europe
Canadian National Railway	33706	India
Canadian Natural Resources	14785	USA, Japan
Canadian Tire	24342	Japan, China, Europe
Canal Plus	32843	USA, India, Europe
Candy	30837	Japan
Candy Land	20515	Europe, India, Australia
Canon	29312	Japan
Capezio	8028	USA, Australia, China
Capital Dynamics	1740	Japan, China, Europe
Capital One	33843	USA
Capri Sun	18716	USA, India, Europe
Captain Morgan	8770	Japan, India, China
Cap'n Crunch	23573	USA, Japan
Caracu	10381	USA, India, Europe
Caramello Koala	6671	USA, Japan
Caravan	28764	India, Australia, Japan
Cardinal Health	5147	Australia
Carebear	29304	Japan, India, China
Carefree	30288	India, Australia, Japan
Caress	14256	China
Carfax	16307	Japan, China, Europe
Cargill	27785	India, Australia, Japan
Carling	16898	Europe
Carling Black Label	432	USA, India, Europe
Carlsberg	12175	USA, India, Europe
Carlton & United Breweries	24704	Europe, India, Australia
Carl's Jr.	27818	Japan, China, Europe
Carmax	27617	Japan
Carnation	704	USA, Japan
Carnegie	11256	India, Australia, Japan
Carnini	10158	USA, Japan
Carnival Cruise Lines	30322	Japan
Carrefour	34393	Europe
Carroten	32215	India
Carte Noire	19943	China
Carter's	12967	India
Cartier	386	USA
Casas Bahia	25430	USA, India, Europe
Cascade Brewery	21933	Australia
Cascadian Farm	23147	Japan
Cascina Verdesole	13166	USA
Casey's General Store	21373	China
Casino	13542	Japan, India, China
Casio	10057	Japan, India, China
Cass	34998	China
Castablast	1535	India
Castlemaine Perkins	10202	Japan, China, Europe
Cat Chow	6595	China
Catena	13749	Australia
Caterpillar	30110	Japan, China, Europe
Cathay Pacific	9246	Japan
Cbus	12273	Australia
Ceat	17290	India
Celcom	7433	Japan
Celebrex	10686	Europe
Celebrity Cruises	5161	Europe, India, Australia
Celesc	14909	Europe
Celia	25617	USA, India, Europe
Cemex	4798	USA, India, Europe
Cemig	10295	Australia
Cencosud	27273	Japan
Cenovus Energy	30883	India, Australia, Japan
Center Fresh	26792	India, Australia, Japan
CenterPoint Energy	18633	Europe
Centrale Latte Roma	21692	China
Centrino	3763	India
Centro Properties Group	20561	Japan, China, Europe
Century 21	29236	India, Australia, Japan
Cerpa	20145	Australia
Cerpinha	13424	Europe
Cerruti	21952	Japan, China, Europe
Challenger	7210	China
Champion	16130	USA, Japan
Chanel	21832	USA, India, Europe
Chang Beer	30626	Europe
Changyu	30686	USA
ChapStick	22805	Europe, India, Australia
Charles Schwab	8526	USA
Charmin	6840	Europe, India, Australia
Chase	3359	Europe
Chaumet	2325	Europe, India, Australia
Cheap Monday	7673	USA, India, Europe
Cheer	5776	Japan, India, China
Cheerios	13560	USA, Japan
Cheesecake Factory	32726	Europe, India, Australia
Cheetos	32209	USA, Japan
Cheez Whiz	13304	China
Cheez-It	25531	China
Cheezels	27165	Australia
Chef	34661	Australia
Chef Boyardee	4104	USA, Japan
Chemeq	28106	Japan, China, Europe
Cheung Kong Holdings	28307	USA, Japan
Chevrolet	20756	China
Chevron	34770	USA, Australia, China
Chex	1104	Europe
Chicco	31751	Europe, India, Australia
Chiko Roll	15617	Europe, India, Australia
Chili's	9485	Japan, China, Europe
Chimay	723	USA, India, Europe
Chimei	19961	Japan, China, Europe
China Citic Bank	4687	Japan, China, Europe
China Construction Bank	21575	USA, India, Europe
China Eastern	19331	USA, Australia, China
China Life	25561	Japan
China Light and Power	11149	India
China Merchants Bank	29561	USA, India, Europe
China Mobile	8808	China
China Southern Airlines	10102	USA, Australia, China
China Telecom	23623	Japan
China Unicom	28463	Japan
Chinachem Group	22280	Europe
Chipotle	2163	Australia
Chip's Ahoy	18283	USA, Australia, China
Chiquita	31285	USA, Australia, China
Chivas	13313	India, Australia, Japan
ChloÃ©	18129	India
Choclitos	13399	USA, Australia, China
Chocolates Garoto	26830	USA, Japan
Chorus Call Australia	4929	USA, Japan
Christian Dior	1248	USA, Japan
Chuck E. Cheese	33515	India
Chuck Taylor	33728	USA, India, Europe
Chunghwa Telecom Co	19799	Europe, India, Australia
Chupa Chups	21125	Japan, India, China
Cialis	10193	USA, Japan
Cielo	19915	USA, Japan
Cif	24338	USA, Japan
Cindor	32456	Japan, China, Europe
Cinemax	6515	Japan
Cinnabon	23453	Japan, China, Europe
Cinnamon Toast Crunch	7208	USA, Japan
Cintra	18721	India, Australia, Japan
Cinzano Vermouth	13060	Japan, China, Europe
Cisco	25873	Japan, India, China
Citibank	24600	USA, India, Europe
Citics	4020	USA, Japan
Citigroup	7440	USA, Australia, China
Citizens Bank	29600	USA, Australia, China
CitroÃ«n	19293	USA, India, Europe
City Telecom	20495	USA
CityRail	6720	USA, Australia, China
Civic	25959	India, Australia, Japan
Clag	16470	India
Claire's Stores, Inc.	17348	Japan, India, China
Clairol	32141	Europe, India, Australia
Clarinex	6546	India
Claritin	19670	Europe, India, Australia
Claritin-D	7298	Europe
Clarius Group	26921	Europe, India, Australia
Claytons	18641	India
Clear Channel Communications	7593	USA, India, Europe
Clear Eyes	1393	Australia
Clearasil	29982	Japan, China, Europe
Clearly Canadian	18334	Australia
Clif Bar	27597	India, Australia, Japan
Clinic	31332	India
Clinique	19869	Europe, India, Australia
Clorox	15091	India, Australia, Japan
Clue	30304	USA, Japan
Co-op	7723	USA, Australia, China
Coach	14806	USA, India, Europe
Cobalt	6272	Japan
Coca-Cola	13279	USA
Coca-Cola Amatil	318	USA, India, Europe
Cochlear Limited	23718	India
Cocoa Krispies	29636	Japan
Cocoa Puffs	29360	India
Cococontacts Pty Ltd	17970	India
Cocomat	23606	Japan, India, China
Codan Limited	359	Australia
Codelco	17465	India, Australia, Japan
Cointreau	26043	USA
Coke Zero	22245	China
Colavita	22767	China
Coldwater Creek	8928	Japan
Coldwell Bank	8702	Japan, China, Europe
Coleman	10288	USA, Japan
Coles Group Lmt	3587	Australia
Colgate	26479	USA
Colonia	27552	India, Australia, Japan
Colorado	16154	China
Colryut	7338	USA, Australia, China
Colt 45	9245	Australia
Comcast	15386	Japan, China, Europe
Comedy Central	14938	USA, India, Europe
Comfort Flex Waistband	8422	USA
ComgÃ¡s	15092	India, Australia, Japan
Commerzbank	10239	Japan, China, Europe
Commonwealth Bank	28591	USA
Company Naming	13803	Europe
Compaq	15613	India, Australia, Japan
Compass Resources	15606	Europe, India, Australia
Complete	15432	Japan, China, Europe
Computershare	20165	India
ConAgra	19965	USA, India, Europe
Conair	7761	Europe
ConnectEast	14462	Japan
ConocoPhillips	2963	Australia
Contact Us	15800	USA
Conti	18861	India, Australia, Japan
Continental	28645	India, Australia, Japan
Continental Airlines	5542	India, Australia, Japan
Converse	10369	India, Australia, Japan
Cookie Time	8642	Japan
Cool Whip	883	Europe, India, Australia
Coolpix	32842	Europe
Coon cheese	11870	USA, Japan
Cooper	26067	Australia
Coopers Brewery	25150	USA
Coors	7690	USA, Australia, China
Coors Light	29689	Europe
Copacol	23689	Europe, India, Australia
Copel	27006	USA, India, Europe
Copesa	17795	Japan
Coppertone	10549	Europe
Cordell Information	19223	China
Corelle	32717	USA, India, Europe
Corn Flakes	14310	Australia
Corn Pops	7977	USA, Japan
CorningWare	5307	Japan, India, China
Corolla	18593	USA, Australia, China
Corona	32126	Europe, India, Australia
CorpBanca	25001	USA, Japan
Corsendonk Pater Noster	10828	USA, Australia, China
Coruba	9945	China
Corvette	12129	Japan
Cosan	15694	USA, India, Europe
Cosmote	1691	Japan
Costco	20655	Europe, India, Australia
Cott	25167	India
Cottee's	24881	Australia
Cotton Inc.	16851	Japan, India, China
Cottonelle	22397	USA, Australia, China
Countdown	6386	India
Country Crock	27355	Japan, India, China
Country Energy	30137	China
Courtyard by Marriott	33547	India, Australia, Japan
Courvoisier	22240	China
Coventry Health Care	24583	China
Cover Girl	289	China
Cox Communications	5909	China
Cracker Barrel	2220	Europe, India, Australia
Cracker Jack	17575	USA, India, Europe
Craigslist	34985	Japan
Crate & Barrel	32903	Australia
Crayola	10020	USA
Crazy John's	19696	Europe, India, Australia
Credit Agricole	15583	USA, Australia, China
Credit Mutual	15906	Europe
Credit Suisse	23347	Europe, India, Australia
Crest	34089	USA
Crestor	25217	China
Crisco	29557	Europe
Crispix	4853	USA
Crocodile Garments	13946	USA, Australia, China
Crown	25045	India
Crown Lager	20536	USA, Japan
Crown Limited	7837	India
Crown Pilsner	5771	USA, India, Europe
Crown Royal	6840	Australia
Crumpler	34364	India, Australia, Japan
Crunch ân Munch	8605	Japan
Crystal Light	3676	USA, Australia, China
Crystal Spring Tea	18944	Europe
Ctrip	14310	Europe
Cub Foods	22835	USA, India, Europe
Cummins	29590	USA, Australia, China
Curves	31942	Australia
Cyber-Shot	10947	USA
CyberLink	19038	Europe
Cyrela	5096	Japan, China, Europe
CÃ©line	32556	Europe, India, Australia
D-Link	16108	India
DBS Bank	27284	Japan, China, Europe
DHL	4575	USA, India, Europe
DHL Express	31895	Australia
DIA	12802	Europe, India, Australia
DKNY	26161	India
DSM	8813	Europe
DTDC	11238	Japan
DYMO	12786	Australia
DZ Bank AG	25849	Japan
DaKine	2384	Japan, India, China
Dabur	18359	India
Daewoo	11952	Europe, India, Australia
Daffy Duck	4480	USA, Australia, China
Daikin	34112	Japan, China, Europe
Daimler	6829	India
Dairy Farmers	23002	India, Australia, Japan
Dairy Queen	150	USA
Daisy	15685	China
Dakota	22901	USA
Dallmayr	16944	Japan, China, Europe
Danone	24543	Japan, China, Europe
Danske Bank	10451	USA, Japan
Darden	10760	USA
Darlie	10933	Japan
Darrell Lea	24242	China
Dasani	2796	Australia
Datacom	27306	Japan, China, Europe
Dave & Busters	4807	China
David Jones Limited	22572	China
David Stubbs & Partners Consulting Engineers Pty Ltd	25095	Japan, India, China
Davidoff	29329	Japan
David's Bridal	16468	China
Dawn	2807	USA, Japan
DayQuil	4062	USA, India, Europe
Days Inn	5797	China
De Bortoli Wines	3029	Japan
De Koninck	32122	Australia
DeBeers	18698	Europe, India, Australia
DeVry	3177	China
DeWALT	4678	Australia
Deborah Milano	14861	Europe
Degree	9442	India
Del Monte	34562	USA, Japan
Delirium Tremens	3213	India
Dell	15198	Europe, India, Australia
Delta	8705	Europe, India, Australia
Delta Air Lines	19381	Japan, China, Europe
Delta Electricity	28026	USA, Australia, China
Delta Lloyd Group	20862	Japan, India, China
Delta Projects	33341	China
DenTek	13928	USA, Australia, China
Denny's	25036	Japan, India, China
Dentyne	9532	India
Denver Hayes	9649	USA, Australia, China
Depo	16824	Australia
Desitin	12131	USA
Detrol	3290	India
Dettol	23815	USA, India, Europe
Deutsche Bank	23093	Japan
Deutsche Post	29596	Australia
Devassa	26098	USA, Australia, China
Dexia	14737	India, Australia, Japan
De'Longhi	9126	Australia
DiGi	20336	Japan, China, Europe
Diadora	14044	Australia
Diageo	9837	USA, Australia, China
Dial	32559	Japan, China, Europe
Diaper Genie	18245	USA, Australia, China
Dick Smith Electronics	12205	USA, India, Europe
Dick Smith Foods	27976	USA, Australia, China
Dickies	8363	China
Dick's Sporting Goods	11228	China
Diesel	29543	USA, India, Europe
Diet Coke	26487	USA, India, Europe
Diet Pepsi	11624	Japan
Digiorno	33432	China
Dillard's	29728	USA
Dilmah	5177	USA
Dinty Moore	28161	USA
Dior	31590	India, Australia, Japan
DirectTV	11766	Europe
Dirt Devil	29814	USA, Japan
Disaronno	11166	India
Disco SA	31190	China
Discount Tire	4025	USA, Australia, China
Discover	24625	India, Australia, Japan
Discovery Air	29978	USA, Japan
Discovery Channel	16028	India, Australia, Japan
Dish Network	23747	Japan, India, China
Disney	21792	Europe, India, Australia
Divella	20087	Japan, China, Europe
Dixie	22380	USA, Australia, China
Doc Martin	13287	Japan, China, Europe
Dockers	4813	Europe, India, Australia
Dodge	34118	China
Dog Chow	13565	Europe
Dolby Surround	12502	USA, Japan
Dolce & Gabbana	21245	Japan
Dole	30716	Japan, China, Europe
Dollar General	16031	China
Dollar Rent A Car	2692	Japan, India, China
Dollar Tree Stores	5487	Europe, India, Australia
Dom Perignon	32409	Europe
Dom Preignon	29904	China
Domino's Pizza	32784	India
Don de Dieu	13936	Europe, India, Australia
Dorf Clark Industries Limited	24298	China
Doritos	4871	China
Doublemint	15266	USA, Japan
Doubletree	28028	Japan, India, China
Doux	11350	USA, Japan
Dove	9011	USA
Dow Chemical	18549	India, Australia, Japan
Downer EDi	23732	Japan
Downy	15201	Japan, China, Europe
Dr Pepper	32424	USA, Japan
Dr. Denim Jeansmakers	15802	Japan
Dr. Oetker	19881	India, Australia, Japan
Dr. Scholl's	19330	USA, India, Europe
Dragon Bleu	32673	USA, Japan
Dragonair	32628	USA, India, Europe
Draka	1786	Japan, China, Europe
Dramamine	22023	Japan
Drano	5909	USA, Australia, China
DreamWorks	33238	USA, Japan
Drewry's	28624	USA
Driza-Bone	10844	India
Drpers	22703	USA, India, Europe
Du Maurier	14202	India
DuPont	7222	Japan, India, China
Ducati	16991	Australia
Dulux	9807	India, Australia, Japan
Dunkin Donuts	29430	Japan, India, China
Duracell	6294	Japan, China, Europe
Duraflame	12079	Europe, India, Australia
Durango	19132	Japan, China, Europe
Duratex	6931	India, Australia, Japan
Durex	9780	Europe, India, Australia
Dusit Thani	18469	USA
DustBuster	33923	Japan, India, China
Dutch Lady	27772	Europe
Dymocks	29754	Japan, India, China
Dynamotive Energy Systems	9237	USA, Japan
Dyson	22404	USA, Australia, China
E! Entertainment Television	9509	India
E-Trade	14780	Europe, India, Australia
E.Leclerc	11528	Australia
E.ON	27892	India
EBX Group	31732	China
EDF Electric	1447	Japan, China, Europe
EFG Bank	16714	India, Australia, Japan
EFTel	1732	Japan
EHarmony.com	30107	Australia
EMQ Pty Ltd	32817	USA, Japan
ENBW	18448	USA, Australia, China
EOS	16129	Australia
ESPN	5011	China
EVA Air	32577	Europe, India, Australia
Eagle Boys	23167	Europe, India, Australia
Easy Jet	17422	Europe
Easy Spirit	27454	Japan, China, Europe
Easy-Bake	18661	USA, Australia, China
Easy-Off	21534	India
EasyShare	15965	China
Eaton	19253	India, Australia, Japan
Ecco	32116	Japan, India, China
Eclipse	10826	Japan, China, Europe
Edy's	29752	China
Effigy Press	23362	Australia
Egg Beaters	17276	Australia
Eggo	7786	USA, Japan
Eight O'Clock Coffee Company	33963	Europe
El Corte InglÃ©s	20855	Europe, India, Australia
El Mercio SAP	311	USA, Australia, China
Elantra	7825	USA
Elders IXL	22762	India
Electrasol	17097	Japan, China, Europe
Electrolux	30634	Japan
Element Skateboards	29764	India
Elevit	5291	USA, India, Europe
Elf	3355	USA, India, Europe
Elfin Cars	21271	USA, India, Europe
Eli Lilly	2484	USA, Australia, China
Elion	33010	India
Ellininki Radiofonia Tileoriasi	3832	USA, Japan
Elmer Fudd	312	USA, Australia, China
Elmer's	11198	India, Australia, Japan
Elvo	3502	India
Email Limited	19504	Japan
Embraco	4922	Australia
Embratel	10842	China
Emerson Electric	31067	Japan, India, China
Emerus	24264	India, Australia, Japan
Empire State Building	30308	USA, India, Europe
Emporiki Bank	11878	Japan, India, China
EmtÃ©	9738	India, Australia, Japan
Emu Brewery	34238	Europe
EnCana	5184	USA, Japan
Enbridge	4235	USA, Australia, China
Energex	31087	Europe
Energizer	6661	USA
EnergyAustralia	6076	Japan, China, Europe
Engin	34702	India, Australia, Japan
Eni S.p.A.	4959	Japan, India, China
Ensure	12416	Australia
Entel PCS	30406	Japan, India, China
Enterprise Rent-A-Car	5671	India
EnviroMission	9769	USA, Australia, China
Envoy	8983	USA, Japan
Epcot	8112	Japan
Epson	2159	India
Equal	5787	USA, India, Europe
Equinox	15695	Japan, India, China
Eraring Energy	15843	Japan, China, Europe
Ergon	9430	Australia
Ergon S.A.	27480	Japan
Ericsson	11580	China
Ermenegildo Zegna	30411	Europe
Ernest Adams	14707	Europe, India, Australia
Ernst & Young	22278	Europe, India, Australia
Erste Group	21831	Australia
Esanda Finance Corporation Ltd	8501	Japan
Escalade	15214	India, Australia, Japan
Escape	10722	Japan
Escondida	25167	USA
Eskimo Pie	775	USA
Esky	134	India, Australia, Japan
Espirit	29385	Japan, India, China
EspÃ­rito Santo Financial Group	26060	Japan, India, China
Estee Lauder	30035	Europe, India, Australia
Estrela	23210	Europe, India, Australia
Estrella Damm	24960	Australia
Etch A Sketch	31038	Japan, China, Europe
Ethan Allen	26777	China
Ethical Ocean	639	Australia
Etienne Aigner	17686	USA
Etos	15691	USA
Eucerin	34507	Japan, China, Europe
Evenflo	19639	China
Eveready	25840	USA, Australia, China
Everlast	12152	USA, India, Europe
Evga S.A.	32060	Australia
Evian	14760	Japan, China, Europe
Evora	23162	USA
Excedrin	11085	Japan, India, China
Excellence	2543	Japan, China, Europe
Expedia.com	26017	Australia
Expedition	5066	Japan, China, Europe
Explorer	28325	India
Export	15560	USA, Japan
Express Virtual Meetings	30139	China
Extra	9664	India
Exxon Mobil	25942	India, Australia, Japan
Ezine	12823	USA, Japan
F. Whitlock & Sons Ltd	14840	India
FLO	25018	Japan, India, China
FX	18277	China
Fabral	11092	India, Australia, Japan
Facebook	19303	USA, Australia, China
Fage	9905	China
Fair and Handsome	17903	Europe
Fairfax Financial Holdings	909	USA, Japan
Falabella	26669	India
Falcon Bridge	28814	USA, Japan
Family Dollar	32157	Japan, China, Europe
Famous Amos	20094	USA, Japan
Fannie Mae	28392	USA
Fanta	32165	Australia
Fantastik	13929	Europe, India, Australia
Farberware	6091	Japan, India, China
Farmers	29590	Japan, India, China
Fashion TV	19273	Australia
Febreze	1420	Europe, India, Australia
FedEx	24555	Japan
FedEx Office	8879	Europe
Feldschlosschen	16393	USA
Fendi	10333	Japan
Feria	5509	USA, Japan
Ferrari	13053	Japan, China, Europe
Ferrero	22325	USA, Japan
Fiat	11440	USA, Japan
Fiber One	21367	Japan, China, Europe
Fiber Plus	28244	India
FibreTech Innovations	27444	Japan, China, Europe
Fibria	23864	Australia
Fidelity	14072	India
Fifth Avenue Show Repair	14137	India
Fila	26949	China
Filippa K	26673	Australia
Finaciero	28068	Europe
Firestone	3605	China
First Data	9380	Europe, India, Australia
First Response	15869	India, Australia, Japan
FirstEnergy	20593	Japan, India, China
Fischer	27283	USA
Fisher & Paykel	32672	Japan, India, China
Fisher-Price	16306	India, Australia, Japan
Fiskar's	18659	USA
Five	30537	Australia
Flahavan's	4044	USA, India, Europe
Fleet Farm	13597	China
Fletcher Jones	2406	USA, India, Europe
Flextronics	1590	India, Australia, Japan
Flight Centre	30245	China
Flonase	6078	USA, India, Europe
Florena	1235	Europe, India, Australia
Florida Orange Juice	14793	Australia
Florigene	755	USA, India, Europe
Fluor	28502	India, Australia, Japan
Focus	25138	USA, Japan
Folgers	33781	India
Folli Follie	29062	USA
Fonterra	9524	Japan, China, Europe
Food Lion	4148	India, Australia, Japan
Foodland Supermarkets	10738	China
Foot Locker	23700	USA, Australia, China
Forbes	8360	Europe
ForceFlex	24230	USA, Australia, China
Ford Motor	1154	India, Australia, Japan
Forenza	9320	Europe, India, Australia
Formula 409	9999	Australia
Forrester	25386	India, Australia, Japan
Forte	26558	India, Australia, Japan
Fortescue Metals Group	25235	USA, Australia, China
Fortis	33832	Japan
Fortwo	25272	USA
Fossil	16520	India
Foster's Lager	34614	India
Fosters	33980	USA, India, Europe
Foster's	8550	USA
Four Loko	19484	Australia
Four'N Twenty Pie	34586	USA, Australia, China
Fox	1605	USA, India, Europe
France Telecom	33261	Japan, India, China
Franck Muller	24548	Japan
Franklins	1611	USA, India, Europe
Franprix	15856	USA, Australia, China
Freddie Mac	22262	Japan, India, China
FreeCreditReport.com	10274	Europe
Freehand Group	8044	India, Australia, Japan
Freeserve	34316	India, Australia, Japan
Freestyle	16302	USA, Australia, China
French's	8791	Australia
Fresca	12881	Japan, India, China
Fresenius Medical Care	743	Japan, India, China
Fresh Steps	25827	Australia
Freshlook	10615	Europe, India, Australia
Fresh'n Fruity	22080	USA, Japan
Fridgidaire	4324	China
Friesland Bank	34036	India, Australia, Japan
Friskies	18773	India, Australia, Japan
Frito-Lay	29327	Japan, China, Europe
FrontLine	19095	India, Australia, Japan
Froot Loops	8724	USA, Australia, China
Frooti	24249	China
Frucor	28625	USA, Japan
Fruit Harvest	22303	Europe
Fruit of the Loom	11419	China
Fuchs	3129	Japan, India, China
Fudge Shoppe	15179	Japan, China, Europe
Fuji Film	22590	Japan, China, Europe
Fujitsu	8934	USA
Fulinmen	7440	Japan, India, China
Funnelback	5889	Europe
Funyuns	15960	USA, India, Europe
Fusion	28337	USA
Fuzion	1869	India
G2000	17254	Japan, China, Europe
G6	320	Australia
GAS	12392	Europe
GCP Australia Ltd	32136	USA, Australia, China
GM	20630	Australia
GMAC	22999	Japan, India, China
GNC	14902	Japan
GT	3167	Europe, India, Australia
GTO	12845	China
GWA International Limited	19115	Europe
Gafisa	23836	India, Australia, Japan
Gagfah	31375	USA, Japan
Galant	5673	Europe
Galbani	4193	USA
Gall & Gall	19555	Japan
Gallina Blanca	321	USA, Australia, China
Game Boy	32447	USA, Japan
Gammon Construction	10357	Japan, India, China
Gap	14698	Europe, India, Australia
Gardetto's	15962	India, Australia, Japan
Garmin	7552	India
Garnier	15429	USA, India, Europe
Gatorade	27103	USA, India, Europe
Gauloises	25445	USA
Geico	25203	Japan
Gen-i	6902	India
General Electric	20849	Europe, India, Australia
General Mills	19811	USA, Australia, China
General Motors	27536	Japan
Geniki Bank	15738	USA, Australia, China
Genius	22638	USA, Australia, China
Genting	14947	USA, India, Europe
Geocell	25629	China
George Foreman	6788	USA, India, Europe
George Weston	8589	Europe
Georgia-Pacific	17310	Japan, India, China
Geox	18933	China
Gerber	28028	China
Gerdau	28832	USA, India, Europe
Gianfranco Ferre	33749	USA, Australia, China
Giant	2269	Japan, India, China
Giant Eagle	10295	Japan
Gigabyte	8563	USA
Gillette	29877	India
Giordano International Limited	19019	China
Giorgio Armani	16788	India
Givenchy	27290	India
Glad	32733	India
Glade	34066	USA, India, Europe
GlashÃ¼tte	17811	Japan
GlaxoSmithKline	13829	USA
Global Linguistics	19404	USA, Australia, China
Global TÃ¡xi AÃ©reo	18707	Europe
Godiva	7515	China
Godrej	32419	China
Gol Transportes AÃ©reos	32810	USA, Australia, China
Gold Flake	3160	USA, India, Europe
Gold Medal	29001	India
Golden Gaytime	19597	India
Golden Grahams	12611	Europe, India, Australia
Golden Harvest	19458	Europe
Golden North	4092	India, Australia, Japan
Goldfish	1646	Japan, China, Europe
Goldman Sachs	32267	Japan, India, China
Gold'n Plump	25762	Europe, India, Australia
Gome	22672	USA, Australia, China
Good	32455	Australia
Good & Plenty	1648	Europe, India, Australia
Good Housekeeping	2725	China
Good Humor	2018	China
Goodman Fielder	7480	Japan, China, Europe
Goody	24723	India, Australia, Japan
Goodyear	24539	Japan, China, Europe
Goody's	10212	Europe, India, Australia
Google	25211	Europe
Gordon's	12629	Australia
Gore-Tex	34543	Japan, China, Europe
Gouden Carolus	20175	Europe, India, Australia
Graco	23703	Europe, India, Australia
Gradiente	206	Japan, China, Europe
GranTurismo	30626	USA, Japan
Grand	19822	Japan, India, China
Granini	31635	Europe
Grape Nuts	9576	Europe, India, Australia
Gree	3723	USA
Green Giant	12766	Japan, China, Europe
Green Island Cement	12953	USA, Japan
Greenpeace	20034	India, Australia, Japan
Gregg's	20057	USA
Grey Goose	17167	Australia
Greyhound	25674	Japan, China, Europe
Griffin's	8015	USA, Australia, China
Grocon	1536	Japan, China, Europe
Group Sense PDA	20378	China
Grupo Folha	34420	China
Grupo Schincariol	11146	Europe
Gruppo Generali	17655	USA, Japan
Guararapes	21046	Japan
Gucci	6280	Europe, India, Australia
Guerlain	13348	USA
Guess?	21156	Japan, China, Europe
Gueuze	20433	USA
Guinness	29350	Australia
Gunns	16242	USA, India, Europe
Guylian	23550	Japan, India, China
H&M	18311	USA
H&R Block	19680	USA, India, Europe
H-E-B	1190	India, Australia, Japan
H2	2208	Australia
HBO	27958	USA, Japan
HDFC Bank	32674	Europe
HIH Insurance	4416	USA, Australia, China
HKR International	24197	Japan
HSBC	23921	Japan, China, Europe
HTC	34154	USA, Japan
Haagen-Dazs	25958	USA
Habib's	32978	USA, Australia, China
Hacky Sack	29061	Europe, India, Australia
Hahn Brewery	32164	Europe, India, Australia
Haier	30972	Europe, India, Australia
Haigh's chocolates	9523	China
Hainan Airlines	12502	Australia
Haldiram	9916	USA, Australia, China
Halifax	29223	China
Hallmark	8017	India
Halls	1401	India, Australia, Japan
Hamburger Helper	31500	USA, India, Europe
Hampton Inn	8190	USA, India, Europe
Hana Bank	31223	Europe
Hanes	14939	USA, Australia, China
Hang Seng Bank	26833	Japan, India, China
Hanjin	9998	USA, Japan
Hankook	2101	Europe, India, Australia
Hannah Montana	5416	India
Hansol	9804	India, Australia, Japan
Harcourts	32764	Europe
Hard Rock CafÃ©	31879	USA
Hardee's	19128	Europe, India, Australia
