Company,Days Since Last Feedback,Current Lead Status,Last Contact Date,Optimal Outreach Window,Recommended Action
Disco SA,219,Contacted,2024-01-15,2024-12-12,Proactive outreach needed
Discount Tire,222,Negotiation,2024-02-04,2024-12-12,Proactive outreach needed
Discover,227,Proposal Sent,2024-04-04,2024-12-12,Proactive outreach needed
Discovery Air,221,In Progress,2024-03-08,2024-12-12,Proactive outreach needed
Discovery Channel,219,Warm ,2024-01-25,2024-12-12,Proactive outreach needed
Dish Network,225,Contacted,2024-02-10,2024-12-12,Proactive outreach needed
Disney,218,Cold,2024-03-09,2024-12-12,Proactive outreach needed
Divella,219,Disqualified,2024-03-28,2024-12-12,Proactive outreach needed
Dixie,225,New,2024-01-18,2024-12-12,Proactive outreach needed
Doc Martin,225,In Progress,2024-01-31,2024-12-12,Proactive outreach needed
Dockers,219,Negotiation,2024-01-05,2024-12-12,Proactive outreach needed
Dodge,224,Negotiation,2024-04-11,2024-12-12,Proactive outreach needed
Dog Chow,218,Disqualified,2024-01-07,2024-12-12,Proactive outreach needed
Dolby Surround,219,Warm ,2024-04-21,2024-12-12,Proactive outreach needed
Dolce & Gabbana,226,Negotiation,2024-01-29,2024-12-12,Proactive outreach needed
Dole,220,Qualified,2024-04-17,2024-12-12,Proactive outreach needed
Dollar Rent A Car,218,In Progress,2024-01-14,2024-12-12,Proactive outreach needed
Dollar Tree Stores,224,Closed-Lost,2024-03-31,2024-12-12,Proactive outreach needed
Dom Perignon,233,Closed-Won,2024-02-12,2024-12-12,Proactive outreach needed
Dom Preignon,225,Referral,2024-04-23,2024-12-12,Proactive outreach needed
Domino's Pizza,225,On-hold,2024-04-12,2024-12-12,Proactive outreach needed
Don de Dieu,223,Closed-Won,2024-01-04,2024-12-12,Proactive outreach needed
Dorf Clark Industries Limited,218,New,2024-03-28,2024-12-12,Proactive outreach needed
Doritos,226,Qualified,2024-02-29,2024-12-12,Proactive outreach needed
Doublemint,219,New,2024-04-14,2024-12-12,Proactive outreach needed
Doubletree,222,Closed-Won,2024-02-18,2024-12-12,Proactive outreach needed
Doux,219,Cold,2024-01-22,2024-12-12,Proactive outreach needed
Dove,223,Contacted,2024-05-01,2024-12-12,Proactive outreach needed
Dow Chemical,238,Reengaged,2024-02-20,2024-12-12,Proactive outreach needed
Downer EDi,223,New,2024-01-12,2024-12-12,Proactive outreach needed
Downy,221,Contacted,2024-01-10,2024-12-12,Proactive outreach needed
Dr Pepper,219,Closed-Won,2024-01-14,2024-12-12,Proactive outreach needed
Dr. Denim Jeansmakers,225,Warm ,2024-01-11,2024-12-12,Proactive outreach needed
Dr. Oetker,229,Nurturing,2024-04-10,2024-12-12,Proactive outreach needed
Dr. Scholl's,219,Reengaged,2024-02-14,2024-12-12,Proactive outreach needed
Dragon Bleu,218,On-hold,2024-02-02,2024-12-12,Proactive outreach needed
Dragonair,220,Referral,2024-01-13,2024-12-12,Proactive outreach needed
Draka,218,Qualified,2024-02-04,2024-12-12,Proactive outreach needed
Dramamine,238,Closed-Lost,2024-02-14,2024-12-12,Proactive outreach needed
Drano,224,Disqualified,2024-01-20,2024-12-12,Proactive outreach needed
DreamWorks,223,Disqualified,2024-03-24,2024-12-12,Proactive outreach needed
Drewry's,221,Nurturing,2024-02-22,2024-12-12,Proactive outreach needed
Driza-Bone,222,Proposal Sent,2024-04-28,2024-12-12,Proactive outreach needed
Drpers,223,Closed-Won,2024-03-13,2024-12-12,Proactive outreach needed
Du Maurier,221,Closed-Lost,2024-02-11,2024-12-12,Proactive outreach needed
DuPont,219,Disqualified,2024-03-08,2024-12-12,Proactive outreach needed
Ducati,220,Contacted,2024-03-06,2024-12-12,Proactive outreach needed
Dulux,227,Warm ,2024-04-02,2024-12-12,Proactive outreach needed
Dunkin Donuts,221,Closed-Won,2024-02-12,2024-12-12,Proactive outreach needed
Duracell,218,In Progress,2024-02-12,2024-12-12,Proactive outreach needed
Duraflame,225,On-hold,2024-02-18,2024-12-12,Proactive outreach needed
Durango,219,Closed-Lost,2024-02-10,2024-12-12,Proactive outreach needed
Duratex,220,Reengaged,2024-01-12,2024-12-12,Proactive outreach needed
Durex,221,Nurturing,2024-03-06,2024-12-12,Proactive outreach needed
Dusit Thani,222,Referral,2024-02-20,2024-12-12,Proactive outreach needed
DustBuster,219,Proposal Sent,2024-02-01,2024-12-12,Proactive outreach needed
Dutch Lady,221,Cold,2024-02-09,2024-12-12,Proactive outreach needed
Dymocks,222,On-hold,2024-01-17,2024-12-12,Proactive outreach needed
Dynamotive Energy Systems,220,On-hold,2024-03-06,2024-12-12,Proactive outreach needed
Dyson,218,Disqualified,2024-01-26,2024-12-12,Proactive outreach needed
E! Entertainment Television,219,New,2024-03-29,2024-12-12,Proactive outreach needed
E-Trade,219,On-hold,2024-01-23,2024-12-12,Proactive outreach needed
E.Leclerc,222,Referral,2024-04-13,2024-12-12,Proactive outreach needed
E.ON,223,Cold,2024-02-07,2024-12-12,Proactive outreach needed
EBX Group,224,Warm ,2024-05-01,2024-12-12,Proactive outreach needed
EDF Electric,219,Cold,2024-01-28,2024-12-12,Proactive outreach needed
EFG Bank,226,Negotiation,2024-02-18,2024-12-12,Proactive outreach needed
EFTel,222,Nurturing,2024-04-11,2024-12-12,Proactive outreach needed
EHarmony.com,218,On-hold,2024-03-31,2024-12-12,Proactive outreach needed
EMQ Pty Ltd,223,Closed-Lost,2024-04-03,2024-12-12,Proactive outreach needed
ENBW,219,New,2024-03-03,2024-12-12,Proactive outreach needed
EOS,220,Proposal Sent,2024-03-06,2024-12-12,Proactive outreach needed
ESPN,221,Warm ,2024-01-26,2024-12-12,Proactive outreach needed
EVA Air,222,Reengaged,2024-02-01,2024-12-12,Proactive outreach needed
Eagle Boys,219,New,2024-01-19,2024-12-12,Proactive outreach needed
Easy Jet,218,New,2024-04-09,2024-12-12,Proactive outreach needed
Easy Spirit,226,New,2024-03-24,2024-12-12,Proactive outreach needed
Easy-Bake,223,Contacted,2024-02-25,2024-12-12,Proactive outreach needed
Easy-Off,221,Closed-Won,2024-03-01,2024-12-12,Proactive outreach needed
EasyShare,226,Proposal Sent,2024-04-11,2024-12-12,Proactive outreach needed
Eaton,219,Warm ,2024-02-19,2024-12-12,Proactive outreach needed
Ecco,221,Proposal Sent,2024-04-19,2024-12-12,Proactive outreach needed
Eclipse,223,Contacted,2024-04-03,2024-12-12,Proactive outreach needed
Edy's,218,Reengaged,2024-02-25,2024-12-12,Proactive outreach needed
Effigy Press,220,Closed-Lost,2024-01-25,2024-12-12,Proactive outreach needed
Egg Beaters,220,Cold,2024-02-09,2024-12-12,Proactive outreach needed
Eggo,233,On-hold,2024-04-17,2024-12-12,Proactive outreach needed
Eight O'Clock Coffee Company,225,Qualified,2024-02-18,2024-12-12,Proactive outreach needed
El Corte InglÃ©s,219,Reengaged,2024-01-05,2024-12-12,Proactive outreach needed
El Mercio SAP,221,Reengaged,2024-04-26,2024-12-12,Proactive outreach needed
Elantra,222,Warm ,2024-03-27,2024-12-12,Proactive outreach needed
Elders IXL,230,Qualified,2024-03-06,2024-12-12,Proactive outreach needed
Electrasol,218,In Progress,2024-04-20,2024-12-12,Proactive outreach needed
Electrolux,218,Warm ,2024-03-11,2024-12-12,Proactive outreach needed
Element Skateboards,223,Reengaged,2024-04-30,2024-12-12,Proactive outreach needed
Elevit,218,Referral,2024-01-09,2024-12-12,Proactive outreach needed
Elf,227,Closed-Lost,2024-04-10,2024-12-12,Proactive outreach needed
Elfin Cars,220,Contacted,2024-04-03,2024-12-12,Proactive outreach needed
Eli Lilly,220,Nurturing,2024-02-23,2024-12-12,Proactive outreach needed
Elion,218,Warm ,2024-03-19,2024-12-12,Proactive outreach needed
Ellininki Radiofonia Tileoriasi,225,Warm ,2024-03-30,2024-12-12,Proactive outreach needed
Elmer Fudd,228,Cold,2024-01-23,2024-12-12,Proactive outreach needed
Elmer's,218,Disqualified,2024-01-03,2024-12-12,Proactive outreach needed
Elvo,225,Cold,2024-03-20,2024-12-12,Proactive outreach needed
Email Limited,226,Proposal Sent,2024-03-29,2024-12-12,Proactive outreach needed
Embraco,224,Reengaged,2024-01-20,2024-12-12,Proactive outreach needed
Embratel,231,Proposal Sent,2024-02-29,2024-12-12,Proactive outreach needed
Emerson Electric,218,Closed-Won,2024-04-28,2024-12-12,Proactive outreach needed
Emerus,218,Warm ,2024-04-16,2024-12-12,Proactive outreach needed
Empire State Building,218,Negotiation,2024-02-10,2024-12-12,Proactive outreach needed
Emporiki Bank,222,Referral,2024-01-29,2024-12-12,Proactive outreach needed
EmtÃ©,223,Proposal Sent,2024-01-22,2024-12-12,Proactive outreach needed
Emu Brewery,225,Negotiation,2024-04-14,2024-12-12,Proactive outreach needed
EnCana,222,Nurturing,2024-03-14,2024-12-12,Proactive outreach needed
Enbridge,218,Cold,2024-03-02,2024-12-12,Proactive outreach needed
Energex,219,Closed-Won,2024-03-16,2024-12-12,Proactive outreach needed
Energizer,220,On-hold,2024-02-20,2024-12-12,Proactive outreach needed
EnergyAustralia,220,Nurturing,2024-02-15,2024-12-12,Proactive outreach needed
Engin,218,Disqualified,2024-04-22,2024-12-12,Proactive outreach needed
Eni S.p.A.,218,Closed-Lost,2024-02-17,2024-12-12,Proactive outreach needed
Ensure,219,In Progress,2024-03-07,2024-12-12,Proactive outreach needed
Entel PCS,218,Warm ,2024-01-21,2024-12-12,Proactive outreach needed
Enterprise Rent-A-Car,229,Cold,2024-03-13,2024-12-12,Proactive outreach needed
EnviroMission,224,Referral,2024-04-15,2024-12-12,Proactive outreach needed
Envoy,220,On-hold,2024-02-09,2024-12-12,Proactive outreach needed
Epcot,218,Cold,2024-01-19,2024-12-12,Proactive outreach needed
Epson,227,Closed-Lost,2024-04-04,2024-12-12,Proactive outreach needed
Equal,218,Cold,2024-04-18,2024-12-12,Proactive outreach needed
Equinox,225,Qualified,2024-02-10,2024-12-12,Proactive outreach needed
Eraring Energy,222,Nurturing,2024-03-03,2024-12-12,Proactive outreach needed
Ergon,218,Referral,2024-03-18,2024-12-12,Proactive outreach needed
Ergon S.A.,237,Closed-Won,2024-04-11,2024-12-12,Proactive outreach needed
Ericsson,219,Disqualified,2024-02-20,2024-12-12,Proactive outreach needed
Ermenegildo Zegna,225,Closed-Lost,2024-04-22,2024-12-12,Proactive outreach needed
Ernest Adams,220,Disqualified,2024-02-19,2024-12-12,Proactive outreach needed
Ernst & Young,218,On-hold,2024-03-14,2024-12-12,Proactive outreach needed
Erste Group,218,Negotiation,2024-04-02,2024-12-12,Proactive outreach needed
Esanda Finance Corporation Ltd,220,Reengaged,2024-01-07,2024-12-12,Proactive outreach needed
Escalade,218,New,2024-03-15,2024-12-12,Proactive outreach needed
Escape,220,New,2024-03-11,2024-12-12,Proactive outreach needed
Escondida,222,Negotiation,2024-02-17,2024-12-12,Proactive outreach needed
Eskimo Pie,220,Qualified,2024-01-20,2024-12-12,Proactive outreach needed
Esky,220,Cold,2024-01-30,2024-12-12,Proactive outreach needed
Espirit,220,Referral,2024-03-26,2024-12-12,Proactive outreach needed
EspÃ­rito Santo Financial Group,219,Closed-Won,2024-04-24,2024-12-12,Proactive outreach needed
Estee Lauder,221,In Progress,2024-04-17,2024-12-12,Proactive outreach needed
Estrela,218,Negotiation,2024-01-01,2024-12-12,Proactive outreach needed
Estrella Damm,222,Negotiation,2024-03-08,2024-12-12,Proactive outreach needed
Etch A Sketch,219,In Progress,2024-01-22,2024-12-12,Proactive outreach needed
Ethan Allen,221,Closed-Won,2024-01-09,2024-12-12,Proactive outreach needed
Ethical Ocean,223,Proposal Sent,2024-04-17,2024-12-12,Proactive outreach needed
Etienne Aigner,235,Contacted,2024-04-29,2024-12-12,Proactive outreach needed
Etos,218,Warm ,2024-02-29,2024-12-12,Proactive outreach needed
Eucerin,230,Warm ,2024-02-04,2024-12-12,Proactive outreach needed
Evenflo,221,In Progress,2024-04-14,2024-12-12,Proactive outreach needed
Eveready,218,Negotiation,2024-04-18,2024-12-12,Proactive outreach needed
Everlast,221,Negotiation,2024-01-03,2024-12-12,Proactive outreach needed
Evga S.A.,222,Warm ,2024-03-11,2024-12-12,Proactive outreach needed
Evian,218,Nurturing,2024-03-21,2024-12-12,Proactive outreach needed
Evora,225,New,2024-02-20,2024-12-12,Proactive outreach needed
Excedrin,219,Nurturing,2024-02-03,2024-12-12,Proactive outreach needed
Excellence,221,Closed-Won,2024-04-06,2024-12-12,Proactive outreach needed
Expedia.com,220,New,2024-01-05,2024-12-12,Proactive outreach needed
Expedition,218,Closed-Lost,2024-01-03,2024-12-12,Proactive outreach needed
Explorer,219,On-hold,2024-01-21,2024-12-12,Proactive outreach needed
Export,225,Qualified,2024-01-04,2024-12-12,Proactive outreach needed
Express Virtual Meetings,221,Referral,2024-01-25,2024-12-12,Proactive outreach needed
Extra,219,Negotiation,2024-02-14,2024-12-12,Proactive outreach needed
Exxon Mobil,220,Warm ,2024-01-03,2024-12-12,Proactive outreach needed
Ezine,219,Referral,2024-01-15,2024-12-12,Proactive outreach needed
F. Whitlock & Sons Ltd,218,Reengaged,2024-04-07,2024-12-12,Proactive outreach needed
FLO,219,New,2024-03-12,2024-12-12,Proactive outreach needed
FX,222,Contacted,2024-01-10,2024-12-12,Proactive outreach needed
Fabral,225,Closed-Won,2024-05-01,2024-12-12,Proactive outreach needed
Facebook,230,On-hold,2024-04-25,2024-12-12,Proactive outreach needed
Fage,218,Negotiation,2024-03-19,2024-12-12,Proactive outreach needed
Fair and Handsome,222,Qualified,2024-03-26,2024-12-12,Proactive outreach needed
Fairfax Financial Holdings,228,Reengaged,2024-03-01,2024-12-12,Proactive outreach needed
Falabella,218,Reengaged,2024-03-19,2024-12-12,Proactive outreach needed
Falcon Bridge,218,Cold,2024-03-16,2024-12-12,Proactive outreach needed
Family Dollar,220,Negotiation,2024-02-28,2024-12-12,Proactive outreach needed
Famous Amos,230,Disqualified,2024-04-13,2024-12-12,Proactive outreach needed
Fannie Mae,221,Disqualified,2024-01-09,2024-12-12,Proactive outreach needed
Fanta,224,Referral,2024-02-25,2024-12-12,Proactive outreach needed
Fantastik,223,Proposal Sent,2024-02-11,2024-12-12,Proactive outreach needed
Farberware,219,Closed-Lost,2024-01-27,2024-12-12,Proactive outreach needed
Farmers,223,Proposal Sent,2024-01-21,2024-12-12,Proactive outreach needed
Fashion TV,218,Referral,2024-02-21,2024-12-12,Proactive outreach needed
Febreze,223,Nurturing,2024-03-24,2024-12-12,Proactive outreach needed
FedEx Office,219,Nurturing,2024-02-04,2024-12-12,Proactive outreach needed
Feldschlosschen,218,Reengaged,2024-04-08,2024-12-12,Proactive outreach needed
Fendi,228,Proposal Sent,2024-03-12,2024-12-12,Proactive outreach needed
Feria,218,Cold,2024-02-14,2024-12-12,Proactive outreach needed
Ferrari,223,Proposal Sent,2024-02-08,2024-12-12,Proactive outreach needed
Ferrero,218,Cold,2024-03-24,2024-12-12,Proactive outreach needed
Fiat,221,Referral,2024-01-02,2024-12-12,Proactive outreach needed
Fiber One,218,Contacted,2024-01-02,2024-12-12,Proactive outreach needed
Fiber Plus,221,Negotiation,2024-02-21,2024-12-12,Proactive outreach needed
FibreTech Innovations,220,Cold,2024-01-18,2024-12-12,Proactive outreach needed
Fibria,220,Closed-Lost,2024-01-24,2024-12-12,Proactive outreach needed
Fidelity,220,Warm ,2024-01-10,2024-12-12,Proactive outreach needed
Fifth Avenue Show Repair,218,Closed-Lost,2024-01-27,2024-12-12,Proactive outreach needed
Fila,219,On-hold,2024-04-07,2024-12-12,Proactive outreach needed
Filippa K,220,On-hold,2024-02-02,2024-12-12,Proactive outreach needed
Finaciero,219,New,2024-04-08,2024-12-12,Proactive outreach needed
Firestone,232,New,2024-03-31,2024-12-12,Proactive outreach needed
First Data,224,Qualified,2024-01-01,2024-12-12,Proactive outreach needed
First Response,222,Qualified,2024-02-11,2024-12-12,Proactive outreach needed
FirstEnergy,220,New,2024-04-13,2024-12-12,Proactive outreach needed
Fischer,220,In Progress,2024-03-19,2024-12-12,Proactive outreach needed
Fisher & Paykel,218,Referral,2024-02-06,2024-12-12,Proactive outreach needed
Fisher-Price,219,New,2024-03-06,2024-12-12,Proactive outreach needed
Fiskar's,228,Warm ,2024-01-04,2024-12-12,Proactive outreach needed
Five,222,Proposal Sent,2024-02-20,2024-12-12,Proactive outreach needed
Flahavan's,220,Referral,2024-01-15,2024-12-12,Proactive outreach needed
Fleet Farm,218,Reengaged,2024-02-04,2024-12-12,Proactive outreach needed
Fletcher Jones,230,Warm ,2024-03-19,2024-12-12,Proactive outreach needed
Flextronics,219,Closed-Won,2024-03-15,2024-12-12,Proactive outreach needed
Flight Centre,222,Qualified,2024-04-20,2024-12-12,Proactive outreach needed
Flonase,224,Reengaged,2024-04-13,2024-12-12,Proactive outreach needed
Florena,218,Cold,2024-01-02,2024-12-12,Proactive outreach needed
Florida Orange Juice,218,On-hold,2024-03-21,2024-12-12,Proactive outreach needed
Florigene,220,Proposal Sent,2024-02-10,2024-12-12,Proactive outreach needed
Fluor,219,Cold,2024-04-17,2024-12-12,Proactive outreach needed
Focus,218,Contacted,2024-04-22,2024-12-12,Proactive outreach needed
Folgers,229,Contacted,2024-04-03,2024-12-12,Proactive outreach needed
Folli Follie,218,Referral,2024-03-31,2024-12-12,Proactive outreach needed
Fonterra,225,Disqualified,2024-02-09,2024-12-12,Proactive outreach needed
Food Lion,219,Referral,2024-04-07,2024-12-12,Proactive outreach needed
Foodland Supermarkets,219,Qualified,2024-02-15,2024-12-12,Proactive outreach needed
Foot Locker,222,In Progress,2024-01-07,2024-12-12,Proactive outreach needed
Forbes,230,Proposal Sent,2024-01-02,2024-12-12,Proactive outreach needed
ForceFlex,226,Nurturing,2024-03-30,2024-12-12,Proactive outreach needed
Ford Motor,223,Qualified,2024-03-05,2024-12-12,Proactive outreach needed
Forenza,221,Warm ,2024-03-04,2024-12-12,Proactive outreach needed
Formula 409,227,Cold,2024-01-06,2024-12-12,Proactive outreach needed
Forrester,222,Warm ,2024-03-06,2024-12-12,Proactive outreach needed
Forte,219,Closed-Lost,2024-02-14,2024-12-12,Proactive outreach needed
Fortescue Metals Group,218,Negotiation,2024-01-27,2024-12-12,Proactive outreach needed
Fortis,218,Reengaged,2024-04-12,2024-12-12,Proactive outreach needed
Fortwo,219,Closed-Won,2024-03-12,2024-12-12,Proactive outreach needed
Fossil,224,Proposal Sent,2024-01-24,2024-12-12,Proactive outreach needed
Foster's Lager,219,Closed-Lost,2024-04-21,2024-12-12,Proactive outreach needed
Fosters,227,Referral,2024-03-20,2024-12-12,Proactive outreach needed
Foster's,223,Qualified,2024-04-26,2024-12-12,Proactive outreach needed
Four Loko,219,New,2024-02-14,2024-12-12,Proactive outreach needed
Four'N Twenty Pie,221,Proposal Sent,2024-01-11,2024-12-12,Proactive outreach needed
Fox,219,Proposal Sent,2024-02-19,2024-12-12,Proactive outreach needed
France Telecom,219,Warm ,2024-03-24,2024-12-12,Proactive outreach needed
Franck Muller,218,Negotiation,2024-02-16,2024-12-12,Proactive outreach needed
Franklins,225,Nurturing,2024-01-31,2024-12-12,Proactive outreach needed
Franprix,219,Nurturing,2024-02-09,2024-12-12,Proactive outreach needed
Freddie Mac,222,Closed-Won,2024-03-29,2024-12-12,Proactive outreach needed
FreeCreditReport.com,219,Reengaged,2024-03-18,2024-12-12,Proactive outreach needed
Freehand Group,218,In Progress,2024-01-14,2024-12-12,Proactive outreach needed
Freeserve,222,New,2024-01-25,2024-12-12,Proactive outreach needed
Freestyle,218,On-hold,2024-04-05,2024-12-12,Proactive outreach needed
French's,222,On-hold,2024-03-11,2024-12-12,Proactive outreach needed
Fresca,222,On-hold,2024-02-19,2024-12-12,Proactive outreach needed
Fresenius Medical Care,219,Negotiation,2024-04-15,2024-12-12,Proactive outreach needed
Fresh Steps,220,Qualified,2024-05-01,2024-12-12,Proactive outreach needed
Freshlook,222,Closed-Lost,2024-03-26,2024-12-12,Proactive outreach needed
Fresh'n Fruity,230,In Progress,2024-04-24,2024-12-12,Proactive outreach needed
Fridgidaire,226,Reengaged,2024-03-05,2024-12-12,Proactive outreach needed
Friesland Bank,228,Proposal Sent,2024-03-31,2024-12-12,Proactive outreach needed
Friskies,241,Proposal Sent,2024-03-26,2024-12-12,Proactive outreach needed
Frito-Lay,225,Nurturing,2024-02-29,2024-12-12,Proactive outreach needed
FrontLine,218,Warm ,2024-04-19,2024-12-12,Proactive outreach needed
Froot Loops,227,In Progress,2024-02-19,2024-12-12,Proactive outreach needed
Frooti,220,Referral,2024-02-29,2024-12-12,Proactive outreach needed
Frucor,218,Warm ,2024-01-19,2024-12-12,Proactive outreach needed
Fruit Harvest,218,Referral,2024-04-05,2024-12-12,Proactive outreach needed
Fuchs,220,Nurturing,2024-04-13,2024-12-12,Proactive outreach needed
Fudge Shoppe,218,Negotiation,2024-03-12,2024-12-12,Proactive outreach needed
Fuji Film,227,Contacted,2024-02-14,2024-12-12,Proactive outreach needed
Fujitsu,222,Qualified,2024-02-15,2024-12-12,Proactive outreach needed
Fulinmen,219,On-hold,2024-01-09,2024-12-12,Proactive outreach needed
Funnelback,226,Cold,2024-02-01,2024-12-12,Proactive outreach needed
Funyuns,221,Referral,2024-01-14,2024-12-12,Proactive outreach needed
Fusion,221,Qualified,2024-04-02,2024-12-12,Proactive outreach needed
Fuzion,219,Referral,2024-03-27,2024-12-12,Proactive outreach needed
G2000,221,Referral,2024-04-07,2024-12-12,Proactive outreach needed
G6,221,New,2024-04-25,2024-12-12,Proactive outreach needed
GAS,222,Negotiation,2024-02-09,2024-12-12,Proactive outreach needed
GCP Australia Ltd,220,Reengaged,2024-03-22,2024-12-12,Proactive outreach needed
GM,224,On-hold,2024-02-02,2024-12-12,Proactive outreach needed
GMAC,226,Contacted,2024-05-01,2024-12-12,Proactive outreach needed
GNC,220,Proposal Sent,2024-04-13,2024-12-12,Proactive outreach needed
GT,219,Proposal Sent,2024-02-08,2024-12-12,Proactive outreach needed
GTO,228,Closed-Lost,2024-02-04,2024-12-12,Proactive outreach needed
GWA International Limited,229,Closed-Lost,2024-01-08,2024-12-12,Proactive outreach needed
Gafisa,218,Qualified,2024-02-14,2024-12-12,Proactive outreach needed
Gagfah,218,Qualified,2024-03-18,2024-12-12,Proactive outreach needed
Galant,218,On-hold,2024-03-12,2024-12-12,Proactive outreach needed
Galbani,221,Contacted,2024-03-23,2024-12-12,Proactive outreach needed
Gall & Gall,219,Disqualified,2024-03-14,2024-12-12,Proactive outreach needed
Gallina Blanca,219,Cold,2024-01-05,2024-12-12,Proactive outreach needed
Game Boy,223,Nurturing,2024-01-03,2024-12-12,Proactive outreach needed
Gammon Construction,221,Qualified,2024-02-28,2024-12-12,Proactive outreach needed
Gardetto's,221,Nurturing,2024-03-08,2024-12-12,Proactive outreach needed
Garnier,221,Cold,2024-03-05,2024-12-12,Proactive outreach needed
Gauloises,220,Proposal Sent,2024-01-16,2024-12-12,Proactive outreach needed
Geico,225,Warm ,2024-03-03,2024-12-12,Proactive outreach needed
Gen-i,222,Warm ,2024-04-12,2024-12-12,Proactive outreach needed
Geniki Bank,228,On-hold,2024-04-09,2024-12-12,Proactive outreach needed
Genius,223,Disqualified,2024-04-06,2024-12-12,Proactive outreach needed
Genting,219,Negotiation,2024-01-10,2024-12-12,Proactive outreach needed
Geocell,218,Negotiation,2024-03-27,2024-12-12,Proactive outreach needed
George Foreman,218,On-hold,2024-02-29,2024-12-12,Proactive outreach needed
George Weston,220,In Progress,2024-03-23,2024-12-12,Proactive outreach needed
Georgia-Pacific,221,In Progress,2024-03-29,2024-12-12,Proactive outreach needed
Geox,223,Closed-Lost,2024-01-23,2024-12-12,Proactive outreach needed
Gerber,223,Closed-Lost,2024-02-11,2024-12-12,Proactive outreach needed
Gerdau,231,Referral,2024-04-11,2024-12-12,Proactive outreach needed
Gianfranco Ferre,219,Closed-Lost,2024-03-24,2024-12-12,Proactive outreach needed
Giant,223,New,2024-04-02,2024-12-12,Proactive outreach needed
Giant Eagle,218,Contacted,2024-02-29,2024-12-12,Proactive outreach needed
Gigabyte,219,Nurturing,2024-03-14,2024-12-12,Proactive outreach needed
Gillette,223,Warm ,2024-03-08,2024-12-12,Proactive outreach needed
Giordano International Limited,223,Cold,2024-01-05,2024-12-12,Proactive outreach needed
Giorgio Armani,227,On-hold,2024-01-07,2024-12-12,Proactive outreach needed
Givenchy,220,Proposal Sent,2024-04-29,2024-12-12,Proactive outreach needed
Glad,219,Disqualified,2024-03-07,2024-12-12,Proactive outreach needed
Glade,219,On-hold,2024-02-24,2024-12-12,Proactive outreach needed
GlashÃ¼tte,218,Disqualified,2024-04-01,2024-12-12,Proactive outreach needed
GlaxoSmithKline,219,Nurturing,2024-02-13,2024-12-12,Proactive outreach needed
Global Linguistics,221,Closed-Lost,2024-04-18,2024-12-12,Proactive outreach needed
Global TÃ¡xi AÃ©reo,224,Reengaged,2024-04-29,2024-12-12,Proactive outreach needed
Godiva,223,Disqualified,2024-03-03,2024-12-12,Proactive outreach needed
Godrej,241,In Progress,2024-03-03,2024-12-12,Proactive outreach needed
Gol Transportes AÃ©reos,220,New,2024-02-20,2024-12-12,Proactive outreach needed
Gold Flake,228,Referral,2024-02-18,2024-12-12,Proactive outreach needed
Gold Medal,218,Qualified,2024-03-07,2024-12-12,Proactive outreach needed
Golden Gaytime,218,Negotiation,2024-02-28,2024-12-12,Proactive outreach needed
Golden Grahams,222,In Progress,2024-02-12,2024-12-12,Proactive outreach needed
Golden Harvest,219,Warm ,2024-03-23,2024-12-12,Proactive outreach needed
Golden North,218,Nurturing,2024-04-09,2024-12-12,Proactive outreach needed
Goldfish,226,New,2024-03-10,2024-12-12,Proactive outreach needed
Gold'n Plump,223,Reengaged,2024-02-20,2024-12-12,Proactive outreach needed
Gome,220,Disqualified,2024-04-20,2024-12-12,Proactive outreach needed
Good,218,Closed-Lost,2024-02-04,2024-12-12,Proactive outreach needed
Good & Plenty,222,Contacted,2024-03-09,2024-12-12,Proactive outreach needed
Good Housekeeping,218,In Progress,2024-01-16,2024-12-12,Proactive outreach needed
Good Humor,223,Disqualified,2024-02-24,2024-12-12,Proactive outreach needed
Goodman Fielder,219,Closed-Lost,2024-03-26,2024-12-12,Proactive outreach needed
Goody,221,Closed-Won,2024-03-04,2024-12-12,Proactive outreach needed
Goodyear,219,Closed-Won,2024-03-09,2024-12-12,Proactive outreach needed
Goody's,233,On-hold,2024-03-24,2024-12-12,Proactive outreach needed
Gordon's,223,Nurturing,2024-04-01,2024-12-12,Proactive outreach needed
Gouden Carolus,219,Proposal Sent,2024-04-30,2024-12-12,Proactive outreach needed
Graco,220,Warm ,2024-01-25,2024-12-12,Proactive outreach needed
Gradiente,219,Warm ,2024-02-24,2024-12-12,Proactive outreach needed
GranTurismo,219,Referral,2024-04-04,2024-12-12,Proactive outreach needed
Grand,236,In Progress,2024-01-31,2024-12-12,Proactive outreach needed
Granini,220,Closed-Won,2024-02-28,2024-12-12,Proactive outreach needed
Grape Nuts,218,Closed-Lost,2024-01-04,2024-12-12,Proactive outreach needed
Gree,220,Warm ,2024-03-14,2024-12-12,Proactive outreach needed
Green Giant,219,Contacted,2024-04-18,2024-12-12,Proactive outreach needed
Green Island Cement,222,Cold,2024-03-17,2024-12-12,Proactive outreach needed
Greenpeace,218,Reengaged,2024-01-10,2024-12-12,Proactive outreach needed
Gregg's,218,Qualified,2024-01-24,2024-12-12,Proactive outreach needed
Grey Goose,225,Qualified,2024-01-09,2024-12-12,Proactive outreach needed
Greyhound,224,Nurturing,2024-02-18,2024-12-12,Proactive outreach needed
Griffin's,219,Referral,2024-03-05,2024-12-12,Proactive outreach needed
Grocon,228,Qualified,2024-02-11,2024-12-12,Proactive outreach needed
